Sent Code	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
W 63	494	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 64	492	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
W 65	129	Triticum	aestivum	Triticum aestivum L	Date-palm Res. Center	قمح مقاوم للملوحة	Saudi Arabia	Eastern Province	Al-Hassa
W 66	645	Triticum	aestivum	Triticum aestivum L	ICARDA-113018	قمح الخبز	Morocco	Unknow	Abha
W 70	921	Triticum	aestivum	Triticum aestivum L	Market	قمح (حب بر صيب قديم)	Saudi Arabia	Mecca	Aseer
W 71	591	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 72	715	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز	Saudi Arabia	Tabuk	Unknow
W 73	604	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Unknow	 Riyadh
W 74	584	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 75	6	Triticum	aestivum	Triticum aestivum L	Market	قمح الهلبا	Saudi Arabia	Al-Qaseem	Buraidah
W 76	984	Triticum	aestivum	Triticum aestivum L	Market	قمح مرغان	Saudi Arabia	Mecca	Buraidah
W 77	583	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 78	562	Triticum	aestivum	Triticum aestivum L	Farm	قمح معيه بلدي	Saudi Arabia	Al-Qaseem	Al-Qawara
W 79	643	Triticum	aestivum	Triticum aestivum L	ICARDA-113072	قمح الخبز	Morocco	Unknow	Abha
W 80	595	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 81	586	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 83	603	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 84	593	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	Unknow	CIMMYT Sample
